./lib/chinese.js: line 2845, col 11, Duplicate key '𠷏'.
./lib/chinese.js: line 2848, col 11, Duplicate key '𥌭'.
./lib/chinese.js: line 2851, col 10, Duplicate key '？'.
./lib/chinese.js: line 2863, col 11, Duplicate key '𣣹'.
./lib/chinese.js: line 2864, col 10, Duplicate key '㽺'.
./lib/chinese.js: line 2865, col 10, Duplicate key '㖃'.
./lib/chinese.js: line 2866, col 11, Duplicate key '𦞦'.
./lib/chinese.js: line 2871, col 10, Duplicate key '㖃'.
./lib/chinese.js: line 2881, col 11, Duplicate key '𡅽'.
./lib/chinese.js: line 2882, col 11, Duplicate key '𣁳'.
./lib/chinese.js: line 2889, col 10, Duplicate key '䎕'.
./lib/chinese.js: line 2891, col 11, Duplicate key '𥆛'.
./lib/chinese.js: line 2899, col 10, Duplicate key '㷄'.
./lib/chinese.js: line 2909, col 10, Duplicate key '㜰'.
./lib/chinese.js: line 2916, col 10, Duplicate key '㑜'.
./lib/chinese.js: line 2927, col 11, Duplicate key '𠻤'.
./lib/chinese.js: line 2928, col 10, Duplicate key '㯿'.
./lib/chinese.js: line 2935, col 10, Duplicate key '㥴'.
./lib/chinese.js: line 2950, col 11, Duplicate key '𠻤'.
./lib/chinese.js: line 2951, col 10, Duplicate key '䏖'.
./lib/chinese.js: line 2963, col 10, Duplicate key '㦛'.
./lib/chinese.js: line 2974, col 10, Duplicate key '㥚'.
./lib/chinese.js: line 2983, col 10, Duplicate key '䓲'.
./lib/chinese.js: line 2985, col 10, Duplicate key '䓈'.
./lib/chinese.js: line 2991, col 11, Duplicate key '𥿆'.
./lib/chinese.js: line 2998, col 11, Duplicate key '𢻰'.
./lib/chinese.js: line 3009, col 11, Duplicate key '𡱣'.
./lib/chinese.js: line 3018, col 10, Duplicate key '䋀'.
./lib/chinese.js: line 3024, col 11, Duplicate key '𤜣'.
./lib/chinese.js: line 3028, col 10, Duplicate key '㸪'.
./lib/chinese.js: line 3031, col 10, Duplicate key '丁'.
./lib/chinese.js: line 3035, col 10, Duplicate key '丄'.
./lib/chinese.js: line 3038, col 10, Duplicate key '万'.
./lib/chinese.js: line 3042, col 10, Duplicate key '上'.
./lib/chinese.js: line 3044, col 10, Duplicate key '下'.
./lib/chinese.js: line 3046, col 10, Duplicate key '不'.
./lib/chinese.js: line 3047, col 10, Duplicate key '不'.
./lib/chinese.js: line 3051, col 10, Duplicate key '丐'.
./lib/chinese.js: line 3059, col 10, Duplicate key '丞'.
